short_url,donation_count,donation_received,donation_target,donation_percentage,campaign_start,campaign_end,days_remaining,category.name,is_forever_running,is_open_goal,days_passed
bantuperempuantangguhumkmberdaya,31833,308404470,300000000,1.0280149,2024-02-19 14:13:10,2024-07-31 23:59:59,110,Kegiatan Sosial,False,False,54
Kitabisasyiarislam,161941,1028223101,2500000000000,0.00041128925,2024-01-04 10:52:13,2038-01-19 10:14:07,0,Kegiatan Sosial,True,True,100
salamaqiqahpantiyatim,22148,294835176,500000000,0.58967036,2024-03-18 00:38:07,2038-01-19 10:14:07,0,Kegiatan Sosial,True,False,26
bantudonasitukkucing,0,0,21000000,0.0,2024-04-12 21:12:14,2024-04-26 23:59:59,14,Menolong Hewan,False,False,1
pahalajariyahtukbeliquranbaruyp,0,0,25000000,0.0,2024-04-12 21:11:58,2024-04-26 23:59:59,14,Rumah Ibadah,False,False,1
investasitiadamerugirenovtukmesjidpelosok,0,0,85000000,0.0,2024-04-12 21:07:38,2024-04-27 23:59:59,15,Rumah Ibadah,False,False,1
mirisjembatanpenghubungdesa,0,0,23000000,0.0,2024-04-12 21:06:06,2024-04-26 23:59:59,14,Infrastruktur Umum,False,False,1
pahalaabadiwakafairtuksantritahfiz,0,0,50000000,0.0,2024-04-12 20:55:10,2024-04-27 23:59:59,15,Rumah Ibadah,False,False,1
pahalasedekahpangan,0,0,6000000,0.0,2024-04-12 20:55:03,2024-04-26 23:59:59,14,Panti Asuhan,False,False,1
jumatberkahbangunsumur,2,11000,30000000,0.00036666667,2024-04-12 20:37:44,2024-04-26 23:59:59,14,Infrastruktur Umum,False,False,1
urgentplafonambrukbantutukrenovasipesantren,3,22000,89000000,0.000247191,2024-04-12 20:09:58,2024-04-27 23:59:59,15,Panti Asuhan,False,False,1
untuktemanbantunahda,2,35000,25000000,0.0014,2024-04-12 20:06:15,2024-04-20 23:59:59,8,Kemanusiaan,False,False,1
bahagiautkadam,12,139000,5000000,0.0278,2024-04-12 19:52:47,2024-04-15 23:59:59,3,Kegiatan Sosial,False,False,1
uttolongraihan,4,130000,25000000,0.0052,2024-04-12 19:47:45,2024-04-20 23:59:59,8,Kegiatan Sosial,False,False,1
aktifbersamapanti,15,305000,1000000,0.305,2024-04-12 19:08:24,2024-04-13 19:06:00,1,Panti Asuhan,False,False,1
beribahagiautkadreena,14,131000,5000000,0.0262,2024-04-12 19:04:26,2024-04-15 23:59:59,3,Kegiatan Sosial,False,False,1
temanberbahagiapanti,15,531000,1000000,0.531,2024-04-12 18:49:35,2024-04-13 23:59:59,1,Panti Asuhan,False,False,1
hsedekahbanturenovasimasjid,15,258000,53500000,0.0048224297,2024-04-12 18:32:51,2024-04-26 23:59:59,14,Rumah Ibadah,False,False,1
perjuanganlansiademikeluarga,16,1007000,60000000,0.016783332,2024-04-12 18:08:24,2024-04-26 23:59:59,14,Kegiatan Sosial,False,False,1
aktifsywalbaik,10,77000,1000000,0.077,2024-04-12 18:03:21,2024-04-13 18:01:00,1,Kegiatan Sosial,False,False,1
